userId,movieId,rating,timestamp,newMovieId,newUserId
49,50,5.0,2013-05-03 02:50:26,1,1
49,163,3.5,2013-05-03 02:43:37,2,1
49,216,3.0,2013-05-03 02:45:58,3,1
49,296,5.0,2013-05-03 02:50:13,4,1
49,333,3.0,2013-05-03 02:44:38,5,1
49,475,4.5,2013-05-03 02:45:40,6,1
49,527,3.5,2013-05-03 02:49:22,7,1
49,593,4.0,2013-05-03 02:51:10,8,1
49,610,4.0,2013-05-03 02:46:44,9,1
49,785,3.5,2013-05-03 02:44:34,10,1
49,849,2.5,2013-05-03 02:46:10,11,1
49,1093,3.0,2013-05-03 02:46:24,12,1
49,1129,3.0,2013-05-03 02:45:33,13,1
49,1198,4.0,2013-05-03 02:49:28,14,1
49,1203,4.0,2013-05-03 02:49:37,15,1
49,1213,4.0,2013-05-03 02:51:55,16,1
49,1339,3.0,2013-05-03 02:45:17,17,1
49,1358,4.0,2013-05-03 02:44:04,18,1
49,2019,4.5,2013-05-03 02:48:22,19,1
49,2302,3.0,2013-05-03 02:43:25,20,1
49,2541,3.5,2013-05-03 02:45:50,21,1
49,2571,4.0,2013-05-03 02:51:32,22,1
49,2858,3.5,2013-05-03 02:52:09,23,1
49,2985,4.0,2013-05-03 02:43:51,24,1
49,4226,4.0,2013-05-03 02:51:35,25,1
49,4310,3.5,2013-05-03 02:46:36,26,1
49,5618,4.0,2013-05-03 02:50:22,27,1
49,58559,4.0,2013-05-03 02:48:42,28,1
49,79132,4.5,2013-05-03 02:51:24,29,1
260,50,4.0,2015-03-24 20:51:54,1,2
260,296,3.0,2015-03-24 20:51:51,4,2
260,527,4.0,2015-03-24 20:47:56,7,2
260,593,4.0,2015-03-24 20:47:58,8,2
260,2571,4.0,2015-03-24 20:51:46,22,2
260,2858,4.0,2015-03-24 20:55:06,23,2
260,79132,4.0,2015-03-24 20:47:39,29,2
260,1,3.0,2015-03-24 21:00:19,30,2
260,19,3.0,2015-03-24 20:58:11,31,2
260,32,4.0,2015-03-24 20:59:58,32,2
260,34,3.0,2015-03-24 21:00:11,33,2
260,47,5.0,2015-03-24 20:51:15,34,2
260,110,3.0,2015-03-24 21:00:17,35,2
260,153,1.0,2015-03-24 21:00:04,36,2
260,318,3.0,2015-03-24 20:51:52,37,2
260,353,3.0,2015-03-24 20:59:36,38,2
260,508,4.0,2015-03-24 20:58:28,39,2
260,551,3.5,2015-03-24 20:58:17,40,2
260,648,0.5,2015-03-24 20:54:59,41,2
260,733,1.0,2015-03-24 20:55:23,42,2
260,736,3.0,2015-03-24 20:54:53,43,2
260,780,3.5,2015-03-24 20:54:42,44,2
260,788,0.5,2015-03-24 20:58:21,45,2
260,904,5.0,2015-03-24 20:52:30,46,2
260,1089,1.0,2015-03-24 20:51:59,47,2
260,1183,3.5,2015-03-24 20:59:22,48,2
260,1221,4.0,2015-03-24 20:51:58,49,2
260,1356,0.5,2015-03-24 20:58:25,50,2
260,1407,3.0,2015-03-24 20:59:17,51,2
260,1527,3.0,2015-03-24 20:55:35,52,2
260,1580,2.0,2015-03-24 20:54:55,53,2
260,1682,4.0,2015-03-24 20:55:54,54,2
260,1721,2.5,2015-03-24 20:55:20,55,2
260,1923,1.0,2015-03-24 20:55:44,56,2
260,2028,3.0,2015-03-24 20:55:16,57,2
260,2324,4.0,2015-03-24 20:52:51,58,2
260,2329,4.0,2015-03-24 20:47:49,59,2
260,2628,1.0,2015-03-24 20:55:26,60,2
260,2683,0.5,2015-03-24 20:55:40,61,2
260,2706,2.0,2015-03-24 20:55:52,62,2
260,2762,4.0,2015-03-24 20:54:50,63,2
260,2959,2.5,2015-03-24 20:51:43,64,2
260,2997,5.0,2015-03-24 20:55:37,65,2
260,7361,4.5,2015-03-24 20:57:20,66,2
260,48394,5.0,2015-03-24 20:53:09,67,2
260,48774,5.0,2015-03-24 20:54:05,68,2
260,55820,5.0,2015-03-24 20:46:28,69,2
260,56782,4.0,2015-03-24 20:52:34,70,2
260,60069,4.0,2015-03-24 20:54:25,71,2
260,68157,5.0,2015-03-24 20:52:11,72,2
260,68954,4.5,2015-03-24 20:53:51,73,2
260,70286,4.5,2015-03-24 20:53:54,74,2
260,74458,4.5,2015-03-24 20:53:28,75,2
260,80463,4.0,2015-03-24 20:53:30,76,2
260,81591,5.0,2015-03-24 20:52:22,77,2
311,50,5.0,2001-02-18 16:14:50,1,3
311,163,3.0,2001-02-18 15:51:46,2,3
